UniProt_ID,pubchem_cid,kiba_score,bound
P35968,118231356,7.32,1
P27487,71517577,,0
P42330,56945199,,0
P10417,89723139,7.0,1
P41144,44377582,0.368,1
P25099,90283425,,0
P49768,44432797,10.6,1
O14920,90644619,,0
P03372,157839,,0
P41146,89266687,,0
P49286,46888419,,0
P51639,6898743,,0
Q15761,24987242,2.45,1
P61169,136480965,,0
Q06187,9579322,,0
P11309,71255025,0.0109,1
P48736,122194412,,0
P56718,51355427,,0
P23458,58293189,2.42,1
P14780,10454592,0.439,1
Q9UGL1,138393341,4.52,1
P49355,44395053,2.19,1
Q16539,11717832,,0
Q9UBN7,66689349,,0
P11309,60165269,,0
Q06187,57401532,5.32,1
P41597,90435584,,0
P09581,14739627,,0
Q924U1,72711802,0.115,1
P43235,137659402,,0
O94925,71577425,2.19,1
P35968,5329382,7.92,1
Q9Y5Y4,71222559,11.7,1
P41279,44356826,,0
Q9UBN7,164620394,3.29,1
Q86V86,153690030,0.657,1
P48736,59615740,9.47,1
P56817,650372,,0
P19327,44287274,5.17,1
P51449,10237032,,0
O00329,91667507,2.09,1
O00255,153315449,1.15,1
P79266,22322323,,0
P43681,127030313,,0
P10415,44412843,,0
P0DMS8,9802941,10.8,1
P27986,124194395,2.05,1
P30874,86714132,,0
P00742,53374075,,0
P00915,138455154,9.89,1
P31639,68593871,,0
O77746,91824280,,0
O76074,136104508,0.643,1
Q07075,134151980,,0
O00767,44188204,,0
P43235,44303324,1.68,1
Q969F8,136016481,4.98,1
Q99720,15163141,0.75,1
P15056,22185489,7.2,1
P35968,121365914,1.65,1
P23458,10004106,,0
O42275,17436003,,0
P52333,117752226,,0
P06239,24826799,0.276,1
O43613,89560327,4.17,1
P21728,118721989,,0
P20292,867287,,0
P33981,14925491,,0
Q9HBH9,117793129,8.37,1
P31639,117874289,,0
P52699,122412815,,0
P23443,90194119,11.9,1
Q96BI3,23590952,0.319,1
Q9NYK1,826184,,0
P00742,71578933,,0
P20292,6073345,,0
P23458,90331537,1.15,1
P07550,155537757,,0
P04150,11013871,2.45,1
Q9NWZ3,67448096,,0
Q9Y233,164619143,,0
Q8MMZ8,24887169,0.0455,1
Q06187,155286778,9.14,1
P30542,90273239,2.87,1
P42345,44515084,1.1,1
P27487,49797454,6.07,1
P08069,89095045,,0
P00533,117903038,,0
P05106,121398633,,0
Q9P0X4,10090958,,0
P50406,53676064,,0
P23977,46877978,0.796,1
P00533,86305720,1.2,1
Q923X8,68325671,5.17,1
P30542,135934968,,0
Q9Y5Y4,11531874,11.3,1
P14780,53324335,,0
Q495T6,59608177,0.194,1
Q8NER1,46222448,,0
P11802,10392705,,0
P29275,541759,4.77,1
O43614,59548463,,0
P28221,50908804,0.545,1
C7C422,135311278,0.0388,1
Q9Y6M4,56850795,,0
P11309,14557662,,0
O00329,11373886,,0
Q99572,44307550,,0
P36544,44279689,,0
P23944,155560536,,0
P12931,23274477,,0
P49810,44432578,7.54,1
P10275,10358742,2.45,1
P29275,3554819,,0
P52333,2876782,,0
Q96BI3,53236132,,0
P08908,24806071,0.201,1
Q13231,118908091,,0
P51681,11640246,,0
P11309,3424737,,0
P00742,137658267,,0
P33535,138393292,,0
P51681,25063092,,0
P04818,44571900,,0
Q9UL62,162644118,,0
P31644,90657043,0.0942,1
Q04759,44573903,9.28,1
P30419,91934718,,0
P29275,57429649,3.45,1
P09874,122190533,1.94,1
P36888,56962355,,0
P41144,44419729,,0
Q02108,45260839,,0
Q16769,155517834,0.933,1
P49336,126511903,2.39,1
Q86V86,10020580,,0
P48736,46842235,,0
P09483,25168963,,0
Q06187,134164203,,0
O55192,90367235,,0
Q9Y233,118937709,,0
P32300,71452440,5.17,1
P49810,70691191,,0
P21802,1504839,,0
P43235,10835877,,0
P21802,134146333,2.43,1
O75116,762797,,0
P42345,162644684,2.7,1
Q9QZN9,91304096,,0
P25929,57339554,3.05,1
P00519,118320653,,0
Q04609,118009841,,0
P11309,89784163,0.79,1
O60674,74767046,,0
P24864,118586227,,0
P21728,75202022,2.98,1
P19328,117927069,,0
P33533,99135,,0
Q9Y698,192624,,0
P33981,16661406,,0
P97266,44325139,1.1,1
O14744,138753159,10.2,1
P28482,90066754,,0
P31749,68281731,11.9,1
Q14524,25101375,,0
P35372,71559034,,0
Q86V86,46178380,1.15,1
P29275,11800992,,0
P00533,15521852,,0
P17707,3008803,,0
P00375,430164,0.00238,1
P32247,46200989,1.99,1
Q923Y9,89497970,,0
P50750,9821984,,0
Q99572,155516500,,0
Q9H5I1,68208975,,0
P49841,135356505,,0
Q99572,118585716,,0
P37023,54671628,,0
O14965,260346,,0
P41594,10056458,,0
O60674,58548324,,0
Q9Y5Y4,16678286,,0
P41597,44425276,8.83,1
P00742,44426246,0.7,1
Q9H244,45485964,11.9,1
P43681,156012182,3.38,1
O60674,3828439,,0
P23458,44300743,,0
P23944,10097792,2.32,1
P35372,6918704,2.45,1
P51449,71612421,7.46,1
Q64373,12950747,,0
Q9QYJ6,76328122,5.6,1
Q9UBN7,71261882,,0
Q07343,72697584,5.6,1
O43614,10552840,,0
P09483,16099075,1.13,1
P30542,9975036,5.73,1
P49137,44454652,2.7,1
P35372,482604,,0
P41597,11562947,5.13,1
O00408,155793229,,0
P08253,44314762,0.0738,1
Q9Y233,9796923,,0
Q9UGL1,76283015,0.0685,1
P28472,67270914,,0
P04629,23636144,,0
P27815,25114583,1.15,1
P12822,13491288,3.07,1
Q9Y233,59327231,0.326,1
P11229,145976805,,0
Q9NYK1,132271889,2.04,1
O14684,90331746,,0
P10275,90655070,7.07,1
P52699,118266494,9.37,1
P35968,162670655,,0
P49810,154699442,,0
P00519,89906906,2.7,1
P52333,76152410,,0
Q99572,137644985,,0
P56524,54682876,4.51,1
P45452,44419932,0.516,1
P78527,162649713,,0
P10415,67127022,0.147,1
O60674,44420081,,0
P23458,56833308,0.96,1
O76074,9818343,5.13,1
P00918,137067248,,0
P53779,118146979,10.2,1
P30518,10098338,0.987,1
P00519,10178563,,0
P33535,5492831,5.01,1
P42866,44334473,3.52,1
P30543,44358969,,0
Q92769,11753622,,0
Q96KB5,134371755,,0
Q13822,56945089,,0
P00918,57403669,,0
P35968,118233992,3.14,1
P31639,135454762,,0
P51639,44272274,,0
P35372,46876389,,0
P15056,70649546,0.372,1
Q13258,21019821,0.404,1
P07949,134435797,4.94,1
P19327,10550097,1.68,1
P32297,45272876,,0
P43236,44440454,0.254,1
C7C422,135311524,0.696,1
P08908,24804942,5.14,1
P28335,68209178,,0
P56373,72551140,,0
P47820,91932101,,0
P47745,121397560,,0
P30969,91931285,0.223,1
P53779,156155382,1.68,1
P23975,67500997,,0
P27338,3976305,,0
P51449,118910983,,0
Q9NWZ3,117885678,6.07,1
P49841,162658127,11.4,1
Q70CQ3,155526622,5.13,1
P08049,24776323,2.71,1
O70528,49783421,0.217,1
P27338,86303921,,0
P10415,46235857,7.23,1
P43143,137658591,0.9,1
P21398,54581436,,0
Q9HBH9,91808118,4.17,1
O14684,90229385,1.94,1
P09581,11720104,3.78,1
P00734,90246264,,0
P43235,9980918,3.39,1
Q60492,25129513,2.98,1
Q14164,118979624,2.7,1
Q9HBH9,52758,,0
P06493,6539010,2.7,1
O15530,16662870,,0
P19793,86298625,,0
Q99720,118724312,11.5,1
Q8WTX7,135911776,11.9,1
P04585,71597071,1.62,1
O43613,118127904,3.68,1
Q07343,24798272,1.62,1
P20309,2858699,,0
P28482,155514660,,0
P35968,118128323,1.15,1
P28482,145985556,,0
Q8NER1,56668688,,0
P81908,68388346,,0
P43405,72202597,0.49,1
P42336,136237407,,0
Q923Y8,73442505,6.72,1
P29122,137657514,0.663,1
P23458,7408,,0
P35372,44581603,,0
P35968,134156584,1.36,1
P49137,56950797,2.09,1
Q92542,23571070,0.0217,1
Q03181,54580964,6.44,1
Q9H6Z9,871573,,0
P41597,137635058,,0
P48736,137653349,,0
O60885,118196499,2.7,1
Q15722,45264563,,0
P08913,11190988,1.53,1
Q9NR96,71087866,,0
P11309,46178857,0.601,1
O75116,118663027,0.595,1
P03468,162676939,4.51,1
P35968,559371,,0
P23458,136980499,3.04,1
P51679,11715385,,0
P28335,10622480,1.9,1
P51449,155518209,3.19,1
O00329,118677611,2.19,1
Q923Y9,73442153,1.79,1
O43613,129093918,2.85,1
O14965,117704821,,0
P05093,90331748,,0
P04626,11327594,,0
Q9NWZ3,90155431,1.36,1
P31644,124172539,,0
Q16790,164622188,9.6,1
O00329,118127154,,0
P34903,10384086,1.03,1
Q9Y233,57391965,,0
P12931,54766964,3.19,1
Q92769,825321,,0
O00311,136603199,0.823,1
O14965,66762387,0.248,1
Q13639,53319410,0.0966,1
P13866,89476997,2.04,1
P34969,71607914,,0
P23687,44360057,8.83,1
P11309,122534441,,0
P35968,118719671,,0
Q9Y233,59351198,0.487,1
Q16539,44453181,7.95,1
P28482,74766963,,0
P15056,44410412,,0
P11309,59226498,0.601,1
P49768,56834260,8.1,1
Q969M7,136639360,,0
P00918,126507400,8.87,1
P01375,91808159,0.531,1
P41143,44339563,0.337,1
Q04609,24953446,8.83,1
Q9UHD2,66959546,,0
P19327,57402651,,0
O43614,118206377,,0
P15056,68036307,1.15,1
P14867,9843909,1.41,1
P35408,44294212,,0
P08069,57680546,3.68,1
Q8K4Z4,44360863,,0
Q06187,135356201,2.95,1
P41146,90654710,,0
P09619,117620118,3.52,1
P35372,11071778,2.85,1
P33535,44369487,0.818,1
Q14524,118110792,3.98,1
P45452,130424172,,0
P10826,1866473,,0
P41145,16066626,,0
P45452,134452525,,0
Q05397,46208508,11.9,1
P33981,57441996,,0
O95822,44333328,6.67,1
P08473,44592991,,0
P13866,17757128,,0
Q02750,89470756,,0
P28221,49850671,0.546,1
P52333,162663326,4.7,1
P11802,71612084,,0
Q15059,86301666,0.341,1
P08254,10503893,1.68,1
Q15858,90023927,8.37,1
P12390,71459066,,0
P28221,16148596,,0
Q99572,13946016,,0
P47869,71599189,,0
P17252,118875815,1.31,1
P00734,117979164,,0
P04626,44403436,11.5,1
P08183,122179381,3.29,1
Q96BI3,44440658,0.313,1
P43405,156016440,,0
Q96RI0,46861600,,0
P12931,18792942,2.19,1
P08908,145976696,6.58,1
P14780,155540219,,0
P49810,44432793,7.0,1
P08908,53324413,,0
P21728,134155502,7.01,1
Q12908,44340434,,0
P56817,130192751,,0
Q64663,71287729,,0
P52699,139269219,0.222,1
P70536,10054982,7.92,1
Q9HBH9,6539509,,0
O88410,16218850,,0
Q01726,9803562,,0
Q14524,57392166,,0
P35372,58443192,0.724,1
P42893,71452681,11.5,1
P08069,89708876,0.175,1
Q06187,49859940,,0
Q14397,91934847,,0
Q8MMZ8,118166446,,0
Q16539,71463400,,0
P00918,71720021,8.61,1
Q9NWZ3,118206414,2.39,1
P35368,11081136,2.46,1
P36888,141523354,2.85,1
Q9H0K1,155531579,1.63,1
Q8NHM5,122180977,,0
Q14524,9811664,,0
P32300,118730935,0.212,1
P51639,137228128,,0
P11802,58300181,2.65,1
O43614,118020620,2.47,1
P19327,24980887,,0
P35968,5329334,4.65,1
P08908,44322770,4.76,1
O00329,11991812,,0
P14780,44329018,8.37,1
P15056,68035550,2.7,1
Q9Y271,10251516,,0
O76083,135528632,,0
P05556,138805801,,0
P27815,10232106,2.6,1
P30968,16155587,0.372,1
P07154,71062350,,0
P03372,87055263,0.0974,1
P19099,135185771,8.37,1
P14207,5275536,,0
Q06187,72946655,,0
P52699,66600938,,0
P42336,71584440,,0
P15104,25121155,,0
P23443,66763454,7.09,1
P20272,136982589,,0
Q8MMZ8,10162057,0.296,1
P35372,162647325,,0
P20309,155522078,,0
P09874,69321732,1.41,1
P49137,25118220,3.04,1
O43613,44580969,4.17,1
P42345,46884543,0.754,1
Q16539,44404797,1.78,1
P41594,54675470,,0
P09483,155541063,,0
P52699,135150159,3.03,1
O60885,89656315,0.993,1
O00141,71537542,3.44,1
O00329,56848713,,0
P23977,91935580,,0
P56373,68019932,9.73,1
Q64663,72812672,4.14,1
P05067,72704466,0.43,1
P13516,45272625,1.15,1
P97266,6539716,,0
O00400,156019675,,0
P49356,9866918,4.89,1
P21917,13136851,,0
P61169,132075237,,0
P48048,46182706,,0
P03372,44293617,,0
P05556,44387471,0.242,1
Q9Y233,53238154,,0
P30551,44356078,2.95,1
Q9QYJ6,66563056,,0
Q9Y233,90454405,0.0519,1
P78527,118954872,2.7,1
P20309,56667183,0.2,1
P51681,71267488,,0
Q16790,73776640,1.59,1
P51449,46233605,,0
P42338,46228466,,0
P35439,76167595,,0
P20272,44341080,,0
P16207,11071829,,0
P51451,3112341,,0
Q920D2,44412826,,0
P23977,46877844,7.23,1
P09874,76335857,10.6,1
P21802,71717322,,0
P29274,11618368,7.58,1
P61169,9995379,7.37,1
P26662,52946506,,0
Q9NWZ3,133053558,,0
P09874,44396035,,0
P04150,127051544,,0
Q64640,9842606,0.81,1
Q2M2I8,24827431,,0
Q2M2I8,137519080,,0
P04629,126962945,3.81,1
P23458,129269857,1.66,1
Q06187,77107685,0.0652,1
P10646,155524085,1.86,1
P08482,162646553,,0
O60885,51353992,,0
P28221,9890331,1.41,1
P51449,44300867,,0
P25774,52757,,0
P52333,145994233,0.55,1
Q14680,89622428,,0
P45983,44269794,,0
O55242,59630015,1.7,1
P30926,57486336,8.3,1
O43613,89560214,6.07,1
Q8QZV1,136505591,4.31,1
P09960,71735070,2.8,1
O77746,17848340,0.407,1
P35228,16114992,0.601,1
Q9NWZ3,75202516,2.01,1
P11511,122191970,,0
P23458,118522502,0.256,1
P41143,135853362,,0
P32238,44267523,,0
O00329,145967821,2.39,1
Q923Y8,118128246,,0
P07949,124199848,8.96,1
P50579,5311280,,0
P30411,10793563,1.36,1
Q8WW43,71574263,,0
P30969,73345577,2.71,1
P19784,127026095,5.03,1
P21453,2356440,,0
Q9NYK1,132272641,3.98,1
Q86V86,68356858,3.74,1
P21453,44591264,0.224,1
P23458,155532724,11.1,1
O15530,67476208,3.68,1
Q9Y233,118068641,,0
Q9UHD2,118537491,10.3,1
P00918,127044997,0.882,1
P17752,118097323,8.37,1
P00734,44313347,5.13,1
P33981,118882382,,0
Q9UM73,90644197,1.08,1
Q9UM73,46882102,,0
P31639,137661404,11.0,1
P33981,57406685,2.29,1
P23443,66763380,3.04,1
P35354,121417115,7.46,1
P20292,90312960,6.58,1
P07949,44367197,,0
P09483,71569959,6.16,1
P43405,118253220,6.07,1
Q15910,135328722,1.15,1
O43613,118723381,,0
P0DMS8,135427226,0.601,1
P15056,135310890,,0
P52333,45273361,7.46,1
P49430,13952776,2.44,1
P23458,118217811,,0
P27361,10540225,,0
P31749,44563101,,0
P41144,44269736,0.36,1
P53634,134587745,10.6,1
P33981,118727696,,0
P04150,25014203,1.73,1
P35372,44241022,2.02,1
P49662,51352907,,0
P28845,78325014,,0
Q99720,91936595,6.35,1
P08235,155561437,,0
P00735,45138647,,0
P51449,118023081,0.0153,1
Q5S007,77843980,0.447,1
Q96S37,117653276,4.17,1
P37059,122653033,4.65,1
P09874,122632809,7.46,1
P42345,124122990,,0
Q14289,134155909,0.544,1
Q9BY41,5352062,0.494,1
P32300,89471252,,0
P01375,58329428,0.601,1
P07943,87298,,0
O00408,135335236,,0
P31424,73295874,,0
P36888,145958864,,0
P28335,10767350,3.13,1
P31639,45101306,3.93,1
P33533,118730934,0.604,1
P42336,44285571,,0
O43614,44571868,,0
P23944,155546303,,0
P00918,89708997,,0
P08069,70368616,,0
P03956,10789493,10.6,1
P23443,66763242,4.51,1
P17252,657180,,0
P53350,44571553,,0
P27958,86728258,1.47,1
P27487,10154555,,0
P15538,57330085,4.17,1
P41968,44284169,,0
P12504,69086904,4.36,1
P41143,44366101,,0
P43236,11496335,0.256,1
P35968,53464595,,0
P22455,68208751,11.7,1
P13866,118863011,,0
P11166,49799864,,0
Q99720,45262069,7.18,1
O00329,71459248,,0
P32307,44386593,3.38,1
Q99572,9803225,7.49,1
Q9ULZ1,16130452,0.0346,1
P26662,89435064,2.19,1
P24864,25066411,,0
P14780,44413992,9.28,1
Q99685,164611755,1.08,1
P28070,155511538,3.39,1
P04585,71718010,,0
P36888,14601409,,0
Q9H244,46232913,7.87,1
P35372,44415676,8.59,1
P10417,67227120,0.00755,1
P51450,59054468,6.44,1
P97612,155548720,,0
P30557,53233170,,0
P34995,44426663,7.88,1
P09483,71459621,,0
P09619,86291496,,0
O75116,46890652,2.7,1
P56817,126556828,8.51,1
P00742,44376084,0.384,1
P00533,90430644,,0
P00918,136078530,,0
P12390,136035723,,0
P97266,73671283,7.96,1
O60674,145983720,,0
P56817,117874908,,0
P23975,49860230,,0
P27487,21919478,6.53,1
P32240,57398586,0.87,1
P43405,118307542,11.2,1
P35968,50907249,,0
P45452,58027682,,0
P06276,44381480,,0
P31421,71230992,,0
Q8MMZ8,71458143,,0
P24723,71456122,,0
P34969,118626121,3.79,1
P18825,76336376,,0
P03372,75026445,,0
P09874,3471603,,0
P31644,44410636,,0
P27487,59758130,,0
O76074,11247946,0.0942,1
P42337,59258965,1.41,1
Q2M2I8,5330514,,0
P33533,10568916,,0
P27958,122197885,3.14,1
Q9Y233,90454401,0.0393,1
P09619,130386185,3.81,1
Q04760,5237351,,0
P10721,71539705,,0
P04035,68350973,,0
P09483,44393478,0.0653,1
P03372,130232826,1.15,1
P33981,58531775,,0
Q9MYW9,54587218,,0
P23141,6763,3.11,1
O94782,117628838,,0
P14555,155523326,8.83,1
P28845,58171516,4.85,1
P08908,137642843,,0
O43570,145983306,,0
Q62968,77845300,6.07,1
Q01726,24739889,,0
P33535,71604569,,0
P00746,54585090,,0
Q06187,86580853,0.55,1
Q05397,58522565,0.601,1
P22437,18385728,9.73,1
O60674,2195983,,0
P54253,164616136,,0
O60674,89462072,3.19,1
P30968,91896291,,0
Q9Y233,56678898,,0
Q10469,122362778,3.68,1
Q04759,3160258,,0
P30557,11681599,,0
P51449,121303788,2.4,1
Q06187,10088960,,0
Q91WG0,10013998,6.34,1
O00329,130363140,1.68,1
P36888,133081975,4.17,1
P32249,117978912,2.7,1
P51681,137654935,,0
P41146,68632142,0.592,1
P36888,156013742,,0
P07861,44342310,4.17,1
P04629,67500217,5.88,1
P23458,90155316,,0
P23458,86343668,,0
Q06187,9808162,,0
P00523,5330147,7.0,1
Q14680,66715635,1.15,1
P01375,58329459,1.15,1
P56373,121295429,7.46,1
O94782,89745135,,0
P33535,68942376,,0
O35433,138403944,,0
P10415,117934018,,0
P30543,100137,,0
Q01959,11255359,0.459,1
O00329,90102000,0.43,1
P07861,44594666,,0
P07949,9931818,,0
P24723,134130688,,0
Q9UBN7,137638837,0.521,1
P07858,46879806,,0
P42336,155531296,0.544,1
O75116,155522776,,0
O00329,66655821,8.83,1
P41146,72945338,,0
P04150,118707977,10.1,1
Q07075,44365525,4.07,1
P04626,44440823,8.83,1
O77746,69597154,6.07,1
Q9NWZ3,11843157,,0
O00329,118575526,3.14,1
P07949,124199967,4.27,1
P33435,136341029,0.544,1
P03952,124131922,3.72,1
P00533,68283500,,0
Q9NWZ3,457346,,0
P10415,49847180,0.00755,1
P97266,44325320,0.592,1
O60674,44333373,,0
Q9H5I1,135281382,6.81,1
P46663,16108961,1.43,1
O75116,67959736,,0
P35968,71456314,,0
P19327,24949694,3.11,1
O14672,46926350,,0
P14600,24784193,1.99,1
P11309,71730635,0.387,1
Q96BI3,57385281,6.21,1
O00763,121399240,,0
P30547,44306023,0.987,1
Q9UBN7,142495304,5.6,1
O76074,57802808,,0
P28482,118380785,7.6,1
P14780,76902413,,0
P30874,44280541,0.355,1
O75116,57960946,,0
P41145,44300116,,0
P23458,118522434,2.45,1
P46098,71699771,,0
Q9NYK1,132271983,0.372,1
Q923Y8,137651756,,0
P29274,56944733,2.31,1
P08908,46225166,2.45,1
Q9UBN7,156889605,10.6,1
P07949,24854100,,0
P00742,11615338,,0
Q92731,136377576,2.05,1
P00734,44422682,,0
P17752,57381316,,0
Q13946,118937718,,0
P11309,67230525,0.601,1
Q08345,117920464,10.2,1
P97266,44570069,5.17,1
P23443,68081146,11.5,1
Q14680,118212391,,0
P04629,136002310,,0
P41145,46888359,,0
Q9R0C9,135408714,,0
P28702,10065757,9.46,1
Q16790,44406479,,0
O35505,11697858,1.49,1
P16234,130363405,,0
P43405,91896908,,0
O00329,57495350,11.1,1
O00408,136983036,8.59,1
P00742,44434829,2.71,1
O15554,57378874,,0
P19099,68182151,,0
Q9QYJ6,155517808,,0
P34995,10632230,,0
P35372,66828215,,0
P00734,134143526,,0
P28482,102594262,0.536,1
P43405,44276042,,0
P41148,145956368,10.2,1
P12390,1015929,,0
P03372,90405686,,0
P22607,86766754,2.17,1
P25100,1965647,,0
P00915,651937,,0
O60885,137631697,,0
P56817,58197640,4.94,1
P09874,145962718,0.313,1
P42866,70691644,1.03,1
Q9Y5Y4,89649102,4.14,1
Q12852,118873864,6.47,1
P23458,59548112,,0
P28482,76070975,0.313,1
Q99572,2208140,,0
P34903,9888315,0.485,1
P29274,156018317,,0
P21802,44304993,,0
Q9H7B4,155566734,0.601,1
P04150,70689821,5.97,1
P09483,44517274,0.0919,1
Q60492,70695077,0.0942,1
Q63634,121264060,,0
Q9NWZ3,90155056,2.04,1
Q9H228,59451870,1.68,1
P56817,4047161,,0
P04035,10015574,,0
Q9UGL1,5328107,,0
P00742,10311006,5.17,1
P16235,44315220,1.65,1
P27986,118708835,,0
P43405,134154515,,0
Q9UHD2,71295153,7.0,1
P56373,118579698,7.0,1
P08069,68272252,3.68,1
O70526,44591295,,0
Q8TDX7,3035817,1.18,1
P08473,20960921,,0
Q14164,118537694,5.5,1
P11217,11021405,,0
Q04771,139326534,7.32,1
P25774,71577215,0.412,1
O60674,117951104,0.907,1
P21556,21463422,5.45,1
O15379,44277294,,0
P13612,70681934,,0
O75116,45487337,,0
Q9Y2D0,11584106,,0
O60674,118256522,11.8,1
P27815,45140553,,0
O00459,134372840,8.37,1
P49841,121393215,,0
Q923Y8,145970698,,0
P20292,90313966,3.79,1
P00734,10669349,6.58,1
P46663,11561240,1.83,1
Q96BI3,44446195,0.331,1
Q12852,134435732,,0
P32247,59618620,2.85,1
Q9Y233,44419944,,0
O60674,53317010,2.85,1
P25099,754779,,0
Q5BJF2,10340708,,0
O08590,44538477,3.09,1
P00740,46209405,5.13,1
Q9NWZ3,90154677,1.68,1
P08069,77846095,,0
P35270,76283429,,0
P42336,67284605,2.93,1
P23975,3234998,,0
Q9H6Z9,71699750,3.39,1
P32249,73345549,,0
P51681,10280944,3.24,1
P01375,58329409,2.19,1
O75907,71538701,4.55,1
Q7Z2W7,118477379,0.43,1
P08842,10226998,1.15,1
P00742,56676447,,0
P04629,145968298,,0
P30419,44304084,,0
P28845,7509285,9.28,1
O00459,117704790,,0
Q13822,117829698,1.94,1
P36888,117927081,2.09,1
O94925,74982723,5.13,1
O43614,118206371,,0
P50579,71453953,,0
P49356,145954141,,0
Q13255,23634254,0.657,1
P25100,71698720,,0
P61169,10834528,5.13,1
P08069,118717618,,0
Q04759,121398572,,0
Q05655,45487571,11.9,1
P12931,118711614,,0
P49582,58826480,,0
P30968,11620431,3.07,1
Q923Y8,45101194,1.53,1
Q16539,10070331,5.6,1
P31213,156632953,,0
P35968,52946377,2.24,1
P49137,145976797,,0
Q9QYJ6,10363242,,0
P10417,117874511,7.46,1
P25103,44338546,9.84,1
P03470,90643662,11.8,1
O43614,118127824,3.19,1
P43143,44560500,,0
P11309,71465379,0.194,1
P17752,10109888,,0
Q9NYK1,155554464,,0
P52333,68358710,11.2,1
Q923Y9,71730506,,0
O19045,118365352,,0
Q9UBF8,44432334,,0
Q8NHM5,155516139,,0
P47820,134397391,,0
P20309,11006448,,0
P24864,129318961,,0
P37059,57401451,,0
P09874,44542366,6.03,1
Q9ERZ8,134374895,2.19,1
P43405,52947491,,0
P28845,850008,,0
P12931,118284066,1.15,1
P00519,134294498,1.1,1
P41145,44415676,11.7,1
Q05586,155555935,,0
P41145,71624554,0.0942,1
Q924U1,118435461,,0
P19020,44299913,1.16,1
P27815,10119564,0.601,1
Q9NR97,132272609,3.88,1
O95263,70684667,6.58,1
C7C422,145972641,,0
P20272,10983972,,0
P42336,44380305,,0
P07861,136213109,,0
P09581,24874846,6.61,1
P19020,9838664,,0
Q923Y9,45381418,,0
Q923Y9,44576687,,0
Q86V86,71253554,0.00755,1
Q9UM73,50942696,8.37,1
P23977,44371853,4.76,1
P12821,136016437,,0
P12822,10575777,10.6,1
Q16790,25138272,,0
P08069,68322702,,0
P41146,46229842,,0
P27487,86298831,,0
Q923Y8,24871531,0.201,1
O00767,24827524,,0
P07607,89993926,,0
O15530,126484726,,0
P14780,9868515,7.46,1
Q9R0C9,14039974,2.7,1
Q13490,118732584,2.29,1
P41143,11960239,,0
P23975,70676475,1.73,1
Q16873,122670176,8.83,1
Q923Y8,56967416,0.201,1
P33981,162370709,,0
P10827,9874938,0.556,1
P26662,44355973,,0
P24557,13557494,9.73,1
P17787,49788731,7.27,1
P31424,52951612,,0
P79400,10340828,9.71,1
P42336,162674531,3.78,1
Q15910,71261531,2.58,1
P17948,51000963,1.68,1
P43405,89866692,6.02,1
P17752,118097232,1.68,1
P05106,122422598,,0
P42866,71659625,0.19,1
Q9NWZ3,44327243,,0
P10275,130278371,,0
P36888,91970945,,0
O19045,10273747,3.39,1
O76083,11501465,,0
P20272,45268707,1.79,1
Q05397,91826224,,0
Q92542,44440650,11.5,1
P05979,16007065,2.09,1
Q06187,71222927,5.46,1
P35968,73346915,,0
P51681,71458167,,0
Q06187,145987765,0.601,1
Q14790,11257152,8.37,1
P14867,107704,0.745,1
P08908,11237863,6.72,1
P54750,21049437,,0
Q99685,44591874,,0
Q96BI3,44446153,0.933,1
Q9Y233,44434698,,0
P03468,25207948,,0
Q9NYK1,132271944,0.372,1
P12822,44315084,,0
O60674,134436367,,0
P00742,44330999,4.07,1
P14780,71583084,,0
P09874,16665848,2.45,1
P30530,121409083,0.212,1
P14600,24782913,4.36,1
C7C422,118263886,,0
P27487,145953726,0.378,1
P43235,56644983,,0
P0DMS8,9864945,11.3,1
P29274,10928011,1.55,1
P27815,155530812,,0
O75907,71110423,11.3,1
P16257,11653141,0.76,1
P05227,44422406,,0
P12931,21877027,,0
Q15858,155512152,,0
P15090,73441949,9.95,1
Q9Y233,16665775,,0
P15056,44336091,,0
P45983,19972519,,0
P13612,71666589,,0
P20292,90312981,3.79,1
O43570,76321689,11.8,1
P30872,16157479,0.2,1
Q15392,155562077,,0
Q9UBN7,118715728,10.6,1
P13866,89476761,7.46,1
P08913,23983765,,0
P30542,78427078,,0
P32300,24996924,,0
P09960,145953593,,0
O00767,45270672,4.17,1
P04150,45486442,11.7,1
Q60492,89497985,,0
Q9NR97,44587984,,0
Q10469,124201094,1.94,1
P11309,135311442,,0
Q12884,71718813,,0
P29274,130363373,,0
Q923Y9,71719877,,0
Q7L7X3,5279,0.136,1
P34972,11537652,0.52,1
Q92542,10316321,,0
Q13490,71449027,,0
O60259,44592195,,0
Q15761,44411395,,0
P34972,52949398,0.201,1
C7C422,11036991,,0
Q07820,118406995,2.6,1
Q923Y8,59323817,1.15,1
P42681,134145903,,0
P23458,58293084,5.6,1
P04629,91895732,,0
P30729,60165418,0.931,1
O60885,139341544,3.22,1
P31389,59627182,,0
O00400,145955669,,0
P23443,71516590,5.03,1
Q8QZV1,44455081,,0
P80209,71456200,10.2,1
Q14004,24824453,,0
O00408,122190217,,0
P30989,153321101,,0
Q96BI3,56834044,5.93,1
P24557,122497599,,0
P33535,10077295,0.208,1
Q86V86,68328089,3.07,1
Q9UM73,54577892,9.73,1
P56373,90445420,,0
Q9BYT3,46884842,,0
Q9Y5Y4,136241443,,0
Q29550,91340337,,0
P02766,67027545,,0
P41144,153274550,3.25,1
